"nam","gender","year","tot","name_rank"
"Mary","F",1880,7065,"1"
"Linda","F",1880,27,"305"
"Mary","F",1881,6919,"1"
"Linda","F",1881,38,"262"
"Mary","F",1882,8148,"1"
"Linda","F",1882,36,"294"
"Mary","F",1883,8012,"1"
"Linda","F",1883,49,"257"
"Mary","F",1884,9217,"1"
"Linda","F",1884,33,"341"
"Mary","F",1885,9128,"1"
"Linda","F",1885,60,"255"
"Mary","F",1886,9889,"1"
"Linda","F",1886,49,"294"
"Mary","F",1887,9888,"1"
"Linda","F",1887,50,"302"
"Mary","F",1888,11754,"1"
"Linda","F",1888,77,"262"
"Mary","F",1889,11648,"1"
"Linda","F",1889,74,"277"
"Mary","F",1890,12078,"1"
"Linda","F",1890,54,"348"
"Mary","F",1891,11703,"1"
"Linda","F",1891,78,"282"
"Mary","F",1892,13172,"1"
"Linda","F",1892,83,"296"
"Mary","F",1893,12784,"1"
"Linda","F",1893,82,"300"
"Mary","F",1894,13151,"1"
"Linda","F",1894,94,"285"
"Mary","F",1895,13447,"1"
"Linda","F",1895,96,"288"
"Mary","F",1896,13811,"1"
"Linda","F",1896,104,"287"
"Mary","F",1897,13413,"1"
"Linda","F",1897,81,"326"
"Mary","F",1898,14406,"1"
"Linda","F",1898,102,"311"
"Mary","F",1899,13172,"1"
"Linda","F",1899,98,"298"
"Mary","F",1900,16705,"1"
"Linda","F",1900,125,"293"
"Mary","F",1901,13136,"1"
"Linda","F",1901,86,"326"
"Mary","F",1902,14486,"1"
"Linda","F",1902,91,"324"
"Mary","F",1903,14275,"1"
"Linda","F",1903,90,"326"
"Mary","F",1904,14961,"1"
"Linda","F",1904,101,"323"
"Mary","F",1905,16067,"1"
"Linda","F",1905,105,"329"
"Mary","F",1906,16370,"1"
"Linda","F",1906,98,"337"
"Mary","F",1907,17580,"1"
"Linda","F",1907,102,"350"
"Mary","F",1908,18665,"1"
"Linda","F",1908,93,"372"
"Mary","F",1909,19259,"1"
"Linda","F",1909,105,"352"
"Mary","F",1910,22848,"1"
"Linda","F",1910,137,"335"
"Mary","F",1911,24390,"1"
"Linda","F",1911,130,"350"
"Mary","F",1912,32304,"1"
"Linda","F",1912,189,"329"
"Mary","F",1913,36642,"1"
"Linda","F",1913,238,"306"
"Mary","F",1914,45346,"1"
"Linda","F",1914,219,"358"
"Mary","F",1915,58187,"1"
"Linda","F",1915,290,"349"
"Mary","F",1916,61438,"1"
"Linda","F",1916,297,"356"
"Mary","F",1917,64280,"1"
"Linda","F",1917,291,"370"
"Mary","F",1918,67365,"1"
"Linda","F",1918,322,"359"
"Mary","F",1919,65837,"1"
"Linda","F",1919,282,"385"
"Mary","F",1920,70983,"1"
"Linda","F",1920,348,"352"
"Mary","F",1921,73984,"1"
"Linda","F",1921,367,"341"
"Mary","F",1922,72176,"1"
"Linda","F",1922,365,"339"
"Mary","F",1923,71635,"1"
"Linda","F",1923,423,"312"
"Mary","F",1924,73534,"1"
"Linda","F",1924,454,"314"
"Mary","F",1925,70587,"1"
"Linda","F",1925,438,"320"
"Mary","F",1926,67833,"1"
"Linda","F",1926,479,"305"
